name,n,covariate,slope_per_10pp,ci_low,ci_high,p_value,adj_r2,se_type
Primary inferential model: pre-COVID weighted linear model,221,coverage_m12_all,-3.073531039010564,-9.883022444343005,3.7359603663218777,0.37633716984326526,0.6730579820209728,cluster_jurisdiction
Sensitivity: pooled eight-season weighted linear model,333,coverage_m12_all,-0.9219670350518705,-3.9622662651087786,2.1183321950050376,0.5522662669273909,0.6942138134838022,cluster_jurisdiction
